ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to
T-1000,Medium,Open,Security,Slow Internet,Automatically generated ticket #1,2024-08-31,2024-09-05,Michael
T-1001,Critical,Resolved,Network,Malware Detected,Automatically generated ticket #2,2024-11-25,,SecurityTeam
T-1002,Critical,Open,Hardware,Slow Internet,Automatically generated ticket #3,2023-03-29,,Michael
T-1003,Critical,In Progress,Software,Printer Not Responding,Automatically generated ticket #4,2023-11-03,2023-11-10,SecurityTeam
T-1004,Low,Open,Security,Printer Not Responding,Automatically generated ticket #5,2023-06-22,2023-06-29,ITSupport
T-1005,Low,Resolved,Network,Software Installation Request,Automatically generated ticket #6,2024-07-02,2024-07-10,Sara
T-1006,Critical,On Hold,Network,Account Locked,Automatically generated ticket #7,2024-07-27,2024-08-16,ITSupport
T-1007,Medium,In Progress,Network,Printer Not Responding,Automatically generated ticket #8,2023-08-15,2023-08-22,Admin
T-1008,Critical,On Hold,Security,Password Reset,Automatically generated ticket #9,2023-10-01,2023-10-14,Anna
T-1009,Medium,Open,Software,Password Reset,Automatically generated ticket #10,2024-01-25,2024-02-01,Anna
T-1010,High,On Hold,Access Request,Email Not Working,Automatically generated ticket #11,2023-10-27,2023-11-07,Michael
T-1011,Medium,Open,Security,Software Installation Request,Automatically generated ticket #12,2024-06-01,,ITSupport
T-1012,Low,In Progress,Email,Slow Internet,Automatically generated ticket #13,2024-11-11,2024-11-15,Admin
T-1013,Low,Resolved,Hardware,Software Installation Request,Automatically generated ticket #14,2024-11-24,2024-11-26,David
T-1014,Low,On Hold,Access Request,VPN Issue,Automatically generated ticket #15,2024-10-20,2024-11-01,Michael
T-1015,Critical,On Hold,Email,VPN Issue,Automatically generated ticket #16,2023-01-31,2023-02-08,David
T-1016,Critical,Resolved,Software,Password Reset,Automatically generated ticket #17,2023-03-25,,Admin
T-1017,High,In Progress,Access Request,System Crash,Automatically generated ticket #18,2024-07-02,2024-07-04,SecurityTeam
T-1018,Critical,Resolved,Software,Malware Detected,Automatically generated ticket #19,2024-08-24,,David
T-1019,Medium,Open,Network,Slow Internet,Automatically generated ticket #20,2024-01-26,2024-01-30,Michael
T-1020,Low,Open,Access Request,Email Not Working,Automatically generated ticket #21,2023-06-09,2023-06-29,Admin
T-1021,Low,Open,Software,Account Locked,Automatically generated ticket #22,2023-11-27,2023-11-28,Michael
T-1022,Medium,Resolved,Email,Account Locked,Automatically generated ticket #23,2024-02-18,2024-02-28,Michael
T-1023,Low,In Progress,Network,Password Reset,Automatically generated ticket #24,2023-11-20,,Anna
T-1024,Low,Open,Network,Unauthorized Login Attempt,Automatically generated ticket #25,2024-04-12,2024-04-23,Michael
T-1025,Medium,On Hold,Network,Software Installation Request,Automatically generated ticket #26,2023-01-14,2023-01-24,Sara
T-1026,Critical,Resolved,Network,System Crash,Automatically generated ticket #27,2024-06-07,2024-06-24,Michael
T-1027,Medium,Open,Network,VPN Issue,Automatically generated ticket #28,2023-01-25,2023-01-26,SecurityTeam
T-1028,Critical,Open,Security,Malware Detected,Automatically generated ticket #29,2024-05-04,,SecurityTeam
T-1029,Low,Open,Software,Password Reset,Automatically generated ticket #30,2023-06-03,,Michael
T-1030,Medium,On Hold,Access Request,Malware Detected,Automatically generated ticket #31,2023-07-01,2023-07-02,Anna
T-1031,High,Resolved,Software,Unauthorized Login Attempt,Automatically generated ticket #32,2023-02-21,2023-03-05,Anna
T-1032,High,On Hold,Security,Email Not Working,Automatically generated ticket #33,2024-11-05,2024-11-10,SecurityTeam
T-1033,Medium,Open,Email,System Crash,Automatically generated ticket #34,2023-01-05,,Admin
T-1034,Low,On Hold,Access Request,Account Locked,Automatically generated ticket #35,2023-08-15,,Michael
